Key,English(en),Russian(ru),Belarusian(be),Ukrainian(uk)
Rune_Might_Desc,Enhances the close attack and the range of repulsion of enemies.,Усиливает ближнюю атаку и дальность отталкивания врагов.,Узмацняе блізкую атаку і далёкасць адштурхвання ворагаў.,Посилює тісну атаку та діапазон відштовхування ворогів.
Rune_Resurrection_Desc,"Allows you to revive after death, and then disappears.","Позволяет возродиться после смерти, а затем исчезает.","Дазваляе адрадзіцца пасля смерці, а потым знікае.","Дозволяє відродитися після смерті, а потім зникає."
Object_Interact_Prism_Ok,Fill out a prism,Заполнить призму,Націсніце <B> {0} </b> для запаўнення,Заповніть призму
Object_Interact_Prism_Empty,Look for suitable crystals,Ищите подходящие кристалы,Няма прыдатных крышталяў,Шукайте відповідні кристали
Object_Interact_Prism_Full,Prism is filled!,Призма заполнена!,Цалкам запоўнены,Призма заповнена!
Object_Interact_Bed,Save the game,Сохранить игру,"Націсніце <B> {0} </b>, каб захаваць",Зберегти гру
Object_Interact_Door,Go,Перейти,"Націсніце <B> {0} </b>, каб перайсці",Йти
Object_Interact_Panel_True,Go to the next planet,Отправиться к следующей планете,"Націсніце <B> {0} </b>, каб пачаць",Перейдіть на наступну планету
Object_Interact_Panel_False,"For the start of the rocket, fill out the prism of crystals from this planet",Для старта ракеты заполните призму кристаллами с этой планеты,"Для пуска ракеты, запоўніце прызму адпаведнага колеру",Для початку ракети заповніть призму кристалів з цієї планети
Object_Interact_TeleportToPlanet,Teleport to the planet,Телепортироваться на планету,"Націсніце <B> {0} </b>, каб выйсці на планету",Телепорт на планету
Object_Interact_TeleportToRocket,Teleport to the ship,Телепортироваться на корабль,Націсніце <B> {0} </b> для ўваходу на карабель,Телепорт до корабля
Object_Interact_Default,To interact,Взаимодействовать,Націсніце <B> {0} </b> для ўзаемадзеяння,Взаємодіяти
